Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   611460    0.125    0.000    0.125    0.000 {built-in method builtins.isinstance}
   520000    0.229    0.000    0.300    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
   260026    0.036    0.000    0.036    0.000 {method 'strip' of 'str' objects}
   260004    0.139    0.000    0.139    0.000 {method 'format' of 'str' objects}
   260000    0.260    0.000    0.530    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:62(fmt)
    70001    0.158    0.000    0.158    0.000 {method 'write' of '_io.BufferedWriter' objects}
52853/52828    0.009    0.000    0.009    0.000 {built-in method builtins.len}
    40863    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
    40000    0.046    0.000    0.057    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
    34375    0.025    0.000    0.025    0.000 {method 'encode' of 'str' objects}
    30712    0.018    0.000    0.018    0.000 {method 'join' of 'str' objects}
    30000    0.012    0.000    0.012    0.000 {method 'split' of 'bytes' objects}
    21242    0.109    0.000    0.109    0.000 {method 'match' of 're.Pattern' objects}
    20005    0.018    0.000    0.066    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:785(<genexpr>)
    20005    0.038    0.000    0.038    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:932(_read_input)
    20005    0.065    0.000    1.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
    20002    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    20002    0.032    0.000    0.042    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:693(_group_records_for_split)
    20000    0.010    0.000    0.010    0.000 {method 'rstrip' of 'bytes' objects}
    20000    0.006    0.000    0.006    0.000 {method 'clear' of 'dict' objects}
    20000    0.006    0.000    0.006    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:784(<lambda>)
    20000    0.004    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/step.py:79(_IDENTITY_MAPPER)
    20000    0.075    0.000    0.435    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
    20000    0.302    0.000    0.308    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
