Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/1    0.000    0.000    3.673    3.673 {built-in method builtins.exec}
        1    0.000    0.000    3.673    3.673 <string>:1(<module>)
        1    0.000    0.000    3.673    3.673 /home/ubuntu/DAT500-FinalProject/mrJobs/profiling/profile.py:9(main)
        1    0.000    0.000    3.498    3.498 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:483(run)
        1    0.000    0.000    3.498    3.498 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:144(_run)
        1    0.000    0.000    3.493    3.493 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:163(_run_step)
        1    0.000    0.000    3.493    3.493 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:172(_run_streaming_step)
        2    0.000    0.000    3.290    1.645 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:123(_run_multiple)
        5    0.000    0.000    2.964    0.593 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:733(_run_task)
        5    0.000    0.000    2.962    0.592 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:107(invoke_task)
        5    0.000    0.000    2.689    0.538 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:671(execute)
        1    0.000    0.000    2.012    2.012 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:217(_run_mappers_and_combiners)
        4    0.000    0.000    1.695    0.424 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:716(_run_mapper_and_combiner)
    20000    0.059    0.000    1.495    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
        4    0.015    0.004    1.453    0.363 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:748(run_mapper)
        1    0.000    0.000    1.279    1.279 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:287(_run_reducers)
        1    0.011    0.011    1.236    1.236 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:783(run_reducer)
    20005    0.065    0.000    1.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
    10004    0.025    0.000    0.798    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:798(map_pairs)
    10000    0.021    0.000    0.723    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:55(write)
    10000    0.142    0.000    0.699    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:36(read)
    10000    0.146    0.000    0.675    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:59(<listcomp>)
    10000    0.036    0.000    0.545    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
   260000    0.260    0.000    0.530    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:62(fmt)
    20000    0.032    0.000    0.509    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
    10000    0.270    0.000    0.475    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:50(<listcomp>)
    20000    0.031    0.000    0.466    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
    20000    0.075    0.000    0.435    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
    10001    0.005    0.000    0.370    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:853(reduce_pairs)
    10001    0.005    0.000    0.365    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:869(_combine_or_reduce_pairs)
        5    0.000    0.000    0.326    0.065 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:197(_run_task_func)
    10001    0.016    0.000    0.322    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:40(reducer)
        5    0.000    0.000    0.316    0.063 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:219(<genexpr>)
        4    0.000    0.000    0.316    0.079 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:251(_run_mapper_and_combiner_func)
        5    0.000    0.000    0.311    0.062 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:550(_setup_working_dir)
    20000    0.302    0.000    0.308    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
   520000    0.229    0.000    0.300    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
        6    0.000    0.000    0.289    0.048 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:89(__init__)
    10001    0.012    0.000    0.250    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:888(<genexpr>)
     1144    0.021    0.000    0.224    0.000 /usr/lib/python3.8/argparse.py:1349(add_argument)
        6    0.010    0.002    0.213    0.036 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:12(configure_args)
        6    0.000    0.000    0.203    0.034 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:1080(configure_args)
    10000    0.023    0.000    0.192    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:83(read)
    10001    0.007    0.000    0.164    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:189(_loads)
    70001    0.158    0.000    0.158    0.000 {method 'write' of '_io.BufferedWriter' objects}
    10001    0.010    0.000    0.156    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:464(loads)
       22    0.000    0.000    0.152    0.007 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/setup.py:470(name_to_path)
       27    0.152    0.006    0.152    0.006 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/setup.py:418(name)
    10001    0.045    0.000    0.147    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:363(decode)
       10    0.007    0.001    0.143    0.014 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:793(_symlink_or_copy)
        1    0.000    0.000    0.142    0.142 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:689(make_runner)
   260004    0.139    0.000    0.139    0.000 {method 'format' of 'str' objects}
   611460    0.125    0.000    0.125    0.000 {built-in method builtins.isinstance}
     1144    0.001    0.000    0.114    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
        6    0.001    0.000    0.113    0.019 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1492(_add_runner_args)
     1144    0.002    0.000    0.113    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
      666    0.005    0.000    0.112    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1509(_add_runner_args_for_opt)
     1144    0.019    0.000    0.111    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
    21242    0.109    0.000    0.109    0.000 {method 'match' of 're.Pattern' objects}
       10    0.000    0.000    0.108    0.011 /usr/lib/python3.8/posixpath.py:449(relpath)
     1233    0.108    0.000    0.108    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.107    0.011 /usr/lib/python3.8/genericpath.py:69(commonprefix)
        4    0.000    0.000    0.105    0.026 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:715(_runner_class)
        4    0.000    0.000    0.105    0.026 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1534(_runner_class)
      9/1    0.000    0.000    0.105    0.105 <frozen importlib._bootstrap>:986(_find_and_load)
      9/1    0.000    0.000    0.105    0.105 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      9/1    0.000    0.000    0.105    0.105 <frozen importlib._bootstrap>:650(_load_unlocked)
      8/1    0.000    0.000    0.105    0.105 <frozen importlib._bootstrap_external>:842(exec_module)
        8    0.000    0.000    0.101    0.013 <frozen importlib._bootstrap_external>:914(get_code)
        8    0.000    0.000    0.099    0.012 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.037    0.037    0.099    0.099 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:415(_split_mapper_input)
        8    0.098    0.012    0.098    0.012 {method 'read' of '_io.BufferedReader' objects}
    10001    0.066    0.000    0.092    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:376(raw_decode)
     15/1    0.000    0.000    0.092    0.092 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.092    0.092 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:19(<module>)
        6    0.000    0.000    0.084    0.014 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1563(_add_basic_args)
        1    0.000    0.000    0.070    0.070 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:18(<module>)
        1    0.013    0.013    0.070    0.070 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:510(_split_reducer_input)
    20005    0.018    0.000    0.066    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:785(<genexpr>)
      228    0.060    0.000    0.060    0.000 {built-in method posix.stat}
    10000    0.059    0.000    0.059    0.000 {built-in method _csv.reader}
      157    0.000    0.000    0.059    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
    40000    0.046    0.000    0.057    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
    10000    0.056    0.000    0.056    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:44(<listcomp>)
     1144    0.001    0.000    0.052    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
     1144    0.016    0.000    0.051    0.000 /usr/lib/python3.8/argparse.py:169(__init__)
        8    0.000    0.000    0.047    0.006 /usr/lib/python3.8/argparse.py:1650(__init__)
       16    0.000    0.000    0.045    0.003 /usr/lib/python3.8/gettext.py:750(gettext)
