Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20000    0.302    0.000    0.308    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
    10000    0.270    0.000    0.475    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:50(<listcomp>)
   260000    0.260    0.000    0.530    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:62(fmt)
   520000    0.229    0.000    0.300    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
    70001    0.158    0.000    0.158    0.000 {method 'write' of '_io.BufferedWriter' objects}
       27    0.152    0.006    0.152    0.006 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/setup.py:418(name)
    10000    0.146    0.000    0.675    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:59(<listcomp>)
    10000    0.142    0.000    0.699    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:36(read)
   260004    0.139    0.000    0.139    0.000 {method 'format' of 'str' objects}
   611460    0.125    0.000    0.125    0.000 {built-in method builtins.isinstance}
    21242    0.109    0.000    0.109    0.000 {method 'match' of 're.Pattern' objects}
     1233    0.108    0.000    0.108    0.000 {built-in method builtins.min}
        8    0.098    0.012    0.098    0.012 {method 'read' of '_io.BufferedReader' objects}
    20000    0.075    0.000    0.435    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
    10001    0.066    0.000    0.092    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:376(raw_decode)
    20005    0.065    0.000    1.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
      228    0.060    0.000    0.060    0.000 {built-in method posix.stat}
    10000    0.059    0.000    0.059    0.000 {built-in method _csv.reader}
    20000    0.059    0.000    1.495    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
    10000    0.056    0.000    0.056    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:44(<listcomp>)
    40000    0.046    0.000    0.057    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
    10001    0.045    0.000    0.147    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:363(decode)
       38    0.042    0.001    0.042    0.001 {built-in method io.open}
    20005    0.038    0.000    0.038    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:932(_read_input)
        1    0.037    0.037    0.099    0.099 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:415(_split_mapper_input)
    10000    0.036    0.000    0.545    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
   260026    0.036    0.000    0.036    0.000 {method 'strip' of 'str' objects}
    20002    0.032    0.000    0.042    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:693(_group_records_for_split)
    20000    0.032    0.000    0.509    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
    20000    0.031    0.000    0.466    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
       10    0.028    0.003    0.028    0.003 {built-in method posix.symlink}
    34375    0.025    0.000    0.025    0.000 {method 'encode' of 'str' objects}
    10004    0.025    0.000    0.798    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:798(map_pairs)
    11397    0.023    0.000    0.023    0.000 {method 'decode' of 'bytes' objects}
    10000    0.023    0.000    0.192    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:83(read)
    10000    0.021    0.000    0.723    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:55(write)
     1144    0.021    0.000    0.224    0.000 /usr/lib/python3.8/argparse.py:1349(add_argument)
     1144    0.019    0.000    0.111    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
     3048    0.018    0.000    0.021    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
    20005    0.018    0.000    0.066    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:785(<genexpr>)
    30712    0.018    0.000    0.018    0.000 {method 'join' of 'str' objects}
    10001    0.016    0.000    0.322    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:40(reducer)
     1144    0.016    0.000    0.051    0.000 /usr/lib/python3.8/argparse.py:169(__init__)
        4    0.015    0.004    1.453    0.363 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:748(run_mapper)
        6    0.015    0.002    0.015    0.002 {built-in method time.tzset}
     1136    0.014    0.000    0.024    0.000 /usr/lib/python3.8/argparse.py:1490(_get_optional_kwargs)
        1    0.013    0.013    0.070    0.070 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:510(_split_reducer_input)
    30000    0.012    0.000    0.012    0.000 {method 'split' of 'bytes' objects}
    10001    0.012    0.000    0.250    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:888(<genexpr>)
    40863    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
        1    0.011    0.011    1.236    1.236 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:783(run_reducer)
    20000    0.010    0.000    0.010    0.000 {method 'rstrip' of 'bytes' objects}
     5344    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
        6    0.010    0.002    0.213    0.036 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:12(configure_args)
      393    0.010    0.000    0.011    0.000 /usr/lib/python3.8/posixpath.py:71(join)
    10001    0.010    0.000    0.156    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:464(loads)
52853/52828    0.009    0.000    0.009    0.000 {built-in method builtins.len}
       56    0.008    0.000    0.008    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
    10001    0.007    0.000    0.164    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:189(_loads)
       17    0.007    0.000    0.007    0.000 {built-in method posix.mkdir}
     1144    0.007    0.000    0.007    0.000 {built-in method posix.get_terminal_size}
     1144    0.007    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
       10    0.007    0.001    0.143    0.014 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:793(_symlink_or_copy)
    20000    0.006    0.000    0.006    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:784(<lambda>)
    20000    0.006    0.000    0.006    0.000 {method 'clear' of 'dict' objects}
     1144    0.006    0.000    0.027    0.000 /usr/lib/python3.8/shutil.py:1312(get_terminal_size)
       62    0.006    0.000    0.006    0.000 {method 'extend' of 'list' objects}
        6    0.005    0.001    0.012    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:484(_combine_envs_helper)
    10001    0.005    0.000    0.365    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:869(_combine_or_reduce_pairs)
      666    0.005    0.000    0.112    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1509(_add_runner_args_for_opt)
    10001    0.005    0.000    0.370    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:853(reduce_pairs)
       22    0.005    0.000    0.005    0.000 {built-in method _stat.S_ISDIR}
    20000    0.004    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/step.py:79(_IDENTITY_MAPPER)
    10000    0.004    0.000    0.007    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:525(reducer_key)
    20002    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     1144    0.003    0.000    0.005    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
       29    0.003    0.000    0.003    0.000 {built-in method posix.unlink}
       14    0.003    0.000    0.013    0.001 /usr/lib/python3.8/argparse.py:1821(_parse_known_args)
     2348    0.003    0.000    0.014    0.000 /usr/lib/python3.8/re.py:289(_compile)
    10000    0.003    0.000    0.006    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:767(<lambda>)
     4375    0.003    0.000    0.004    0.000 /usr/lib/python3.8/os.py:748(encode)
    10000    0.002    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:887(<lambda>)
        1    0.002    0.002    0.009    0.009 {method 'sort' of 'list' objects}
        1    0.002    0.002    0.031    0.031 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:750(_sort_lines_in_memory)
    10010    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     1144    0.002    0.000    0.113    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
     1144    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
