Thu Apr 21 10:31:25 2022    ./mrJobs/profiling/profile.Find_Mean_Mode.dat

         15446950 function calls (15446200 primitive calls) in 11.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/1    0.000    0.000   11.245   11.245 {built-in method builtins.exec}
        1    0.000    0.000   11.245   11.245 <string>:1(<module>)
        1    0.000    0.000   11.245   11.245 /home/ubuntu/DAT500-FinalProject/mrJobs/profiling/profile.py:9(main)
        1    0.000    0.000   11.196   11.196 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:483(run)
        1    0.000    0.000   11.196   11.196 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:144(_run)
        1    0.000    0.000   11.195   11.195 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:163(_run_step)
        1    0.000    0.000   11.195   11.195 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:172(_run_streaming_step)
        2    0.000    0.000    9.981    4.990 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:123(_run_multiple)
        8    0.001    0.000    9.969    1.246 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:733(_run_task)
        8    0.000    0.000    9.968    1.246 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:107(invoke_task)
        8    0.000    0.000    9.823    1.228 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:671(execute)
        1    0.000    0.000    7.204    7.204 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:217(_run_mappers_and_combiners)
        4    0.000    0.000    7.196    1.799 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:716(_run_mapper_and_combiner)
        4    0.169    0.042    7.144    1.786 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:748(run_mapper)
   217692    0.419    0.000    5.114    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
   217692    0.267    0.000    4.213    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
   435384    0.439    0.000    3.946    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
   435384    0.379    0.000    3.408    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
   435384    0.808    0.000    3.029    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
   227674    0.268    0.000    2.841    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
        1    0.000    0.000    2.778    2.778 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:287(_run_reducers)
        4    0.000    0.000    2.680    0.670 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:783(run_reducer)
