Thu Apr 21 10:31:25 2022    ./mrJobs/profiling/profile.Find_Mean_Mode.dat

         15446950 function calls (15446200 primitive calls) in 11.245 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   435354    1.843    0.000    1.919    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
   435384    0.808    0.000    3.029    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
   217692    0.530    0.000    0.771    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:376(raw_decode)
   217692    0.439    0.000    1.396    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:363(decode)
   435384    0.439    0.000    3.946    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
   217692    0.419    0.000    5.114    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
   654736    0.415    0.000    0.415    0.000 {method 'match' of 're.Pattern' objects}
  2235239    0.402    0.000    0.402    0.000 {built-in method builtins.isinstance}
   435384    0.379    0.000    3.408    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
   227666    0.307    0.000    1.227    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/find_mean_mode.py:41(mapper)
   880717    0.284    0.000    0.284    0.000 {method 'write' of '_io.BufferedWriter' objects}
   227668    0.277    0.000    0.431    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:693(_group_records_for_split)
   227674    0.268    0.000    2.841    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
   217692    0.267    0.000    4.213    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
   435384    0.241    0.000    0.316    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
   217666    0.238    0.000    0.921    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/find_mean_mode.py:24(is_number_regex)
   217666    0.207    0.000    1.991    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:83(read)
   652998    0.201    0.000    0.201    0.000 {method 'split' of 'bytes' objects}
   217705    0.177    0.000    0.622    0.000 /usr/lib/python3.8/re.py:188(match)
