Thu Apr 21 10:26:50 2022    ./mrJobs/profiling/profile.Remove_Null_Vals.dat

         2878596 function calls (2878042 primitive calls) in 1.798 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   260000    0.197    0.000    0.428    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:62(fmt)
   540000    0.168    0.000    0.220    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
    10000    0.131    0.000    0.276    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:50(<listcomp>)
    20000    0.130    0.000    0.134    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
   260004    0.122    0.000    0.122    0.000 {method 'format' of 'str' objects}
    10000    0.077    0.000    0.381    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:36(read)
    10000    0.070    0.000    0.498    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:59(<listcomp>)
    70001    0.068    0.000    0.068    0.000 {method 'write' of '_io.BufferedWriter' objects}
   631460    0.066    0.000    0.066    0.000 {built-in method builtins.isinstance}
    10001    0.049    0.000    0.064    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:376(raw_decode)
    20000    0.044    0.000    0.890    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
    20000    0.038    0.000    0.185    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
    20005    0.035    0.000    0.565    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
    10000    0.035    0.000    0.035    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/remove_null_vals.py:45(<listcomp>)
   280000    0.033    0.000    0.033    0.000 {method 'strip' of 'str' objects}
    10000    0.025    0.000    0.025    0.000 {built-in method _csv.reader}
    40000    0.023    0.000    0.031    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
    10001    0.023    0.000    0.095    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:363(decode)
    20000    0.021    0.000    0.229    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
    20000    0.018    0.000    0.203    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
    20002    0.018    0.000    0.027    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:693(_group_records_for_split)
    10000    0.015    0.000    0.244    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
    10004    0.015    0.000    0.432    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:798(map_pairs)
    10000    0.015    0.000    0.522    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:55(write)
    10001    0.015    0.000    0.213    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/remove_null_vals.py:43(reducer)
    20005    0.015    0.000    0.015    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:932(_read_input)
    21242    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
        1    0.012    0.012    0.824    0.824 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:783(run_reducer)
    10000    0.012    0.000    0.128    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:83(read)
    20005    0.012    0.000    0.042    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:785(<genexpr>)
        4    0.012    0.003    0.012    0.003 {built-in method posix.sendfile}
    30000    0.012    0.000    0.012    0.000 {method 'split' of 'bytes' objects}
        4    0.012    0.003    0.746    0.187 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:748(run_mapper)
    30686    0.010    0.000    0.010    0.000 {method 'join' of 'str' objects}
    10001    0.009    0.000    0.164    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:888(<genexpr>)
