Thu Apr 14 11:21:41 2022    ./mrJobs/profiling/profile.dat

         22127404 function calls (22086699 primitive calls) in 19.102 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/1    0.000    0.000   19.102   19.102 {built-in method builtins.exec}
        1    0.000    0.000   19.102   19.102 <string>:1(<module>)
        1    0.000    0.000   19.102   19.102 /home/ubuntu/DAT500-FinalProject/mrJobs/profiling/profile.py:3(main)
        1    0.000    0.000   19.060   19.060 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:483(run)
        1    0.000    0.000   19.060   19.060 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:144(_run)
        1    0.000    0.000   19.059   19.059 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:163(_run_step)
        1    0.000    0.000   19.059   19.059 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:172(_run_streaming_step)
        2    0.000    0.000   17.801    8.901 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:123(_run_multiple)
        8    0.000    0.000   17.792    2.224 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:733(_run_task)
        8    0.000    0.000   17.791    2.224 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:107(invoke_task)
        8    0.000    0.000   17.700    2.212 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:671(execute)
        1    0.000    0.000   14.969   14.969 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:217(_run_mappers_and_combiners)
        4    0.000    0.000   14.964    3.741 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:716(_run_mapper_and_combiner)
        4    0.212    0.053   14.915    3.729 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:748(run_mapper)
   280004    0.218    0.000    9.932    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:798(map_pairs)
   290000    2.414    0.000    9.172    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/find_null_val.py:29(mapper)
   280002    0.514    0.000    4.772    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
   280002    0.292    0.000    3.703    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
   560004    0.502    0.000    3.411    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
    10000    0.035    0.000    3.198    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/series.py:4945(replace)
    10000    0.140    0.000    3.163    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/generic.py:6563(replace)
    30000    0.328    0.000    3.038    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/series.py:323(__init__)
   290008    0.308    0.000    3.020    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
        1    0.000    0.000    2.833    2.833 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:287(_run_reducers)
   560004    0.459    0.000    2.788    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
        4    0.000    0.000    2.784    0.696 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:783(run_reducer)
        6    0.000    0.000    2.783    0.464 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:853(reduce_pairs)
        6    0.001    0.000    2.783    0.464 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:869(_combine_or_reduce_pairs)
       30    0.058    0.002    2.782    0.093 /home/ubuntu/DAT500-FinalProject/mrJobs/find_null_val.py:39(reducer)
   280028    0.196    0.000    2.722    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:888(<genexpr>)
   560004    0.775    0.000    2.329    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
    10000    0.038    0.000    2.305    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/managers.py:436(replace)
    10000    0.075    0.000    2.250    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/managers.py:253(apply)
    10000    0.094    0.000    2.090    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:649(replace)
   280000    0.232    0.000    2.089    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:83(read)
   280028    0.166    0.000    1.790    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:189(_loads)
   280028    0.188    0.000    1.625    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:464(loads)
    20000    0.015    0.000    1.523    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:66(isna)
    20000    0.094    0.000    1.508    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:149(_isna)
    10000    0.022    0.000    1.476    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/series.py:5281(isnull)
    10000    0.022    0.000    1.454    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/generic.py:7297(isnull)
   280028    0.456    0.000    1.437    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:363(decode)
   280002    1.108    0.000    1.163    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
    20000    0.175    0.000    1.035    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/construction.py:470(sanitize_array)
3295566/3285566    0.660    0.000    0.860    0.000 {built-in method builtins.isinstance}
    10000    0.374    0.000    0.819    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/missing.py:61(mask_missing)
   280028    0.536    0.000    0.787    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:376(raw_decode)
        1    0.110    0.110    0.764    0.764 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:510(_split_reducer_input)
    19999    0.539    0.000    0.752    0.000 {pandas._libs.lib.maybe_convert_objects}
     9999    0.025    0.000    0.714    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:135(newfunc)
     9999    0.037    0.000    0.689    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1900(convert)
   290008    0.157    0.000    0.605    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:785(<genexpr>)
     9999    0.037    0.000    0.503    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1304(soft_convert_objects)
    10000    0.134    0.000    0.489    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:36(read)
    10000    0.036    0.000    0.484    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:115(maybe_convert_platform)
        1    0.009    0.009    0.463    0.463 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:660(_sort_reducer_input)
        1    0.060    0.060    0.454    0.454 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:750(_sort_lines_in_memory)
    40000    0.132    0.000    0.444    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/generic.py:5585(__setattr__)
    29999    0.119    0.000    0.404    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2025(new_block)
   290002    0.218    0.000    0.402    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:693(_group_records_for_split)
   560004    0.291    0.000    0.389    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
    20000    0.054    0.000    0.383    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/managers.py:1731(from_array)
    20000    0.039    0.000    0.342    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:226(_isna_array)
    20000    0.148    0.000    0.317    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/generic.py:5525(__finalize__)
    39998    0.231    0.000    0.309    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.143    0.143    0.298    0.298 {method 'sort' of 'list' objects}
    10000    0.144    0.000    0.292    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:50(<listcomp>)
    50000    0.095    0.000    0.290    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/series.py:640(name)
    20000    0.055    0.000    0.287    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:267(_isna_string_dtype)
  1130005    0.286    0.000    0.286    0.000 {method 'write' of '_io.BufferedWriter' objects}
    20000    0.021    0.000    0.268    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/_config/config.py:255(__call__)
    20000    0.033    0.000    0.247    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/_config/config.py:127(_get_option)
    10000    0.014    0.000    0.220    0.000 <__array_function__ internals>:177(where)
    19999    0.057    0.000    0.213    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/numpy/core/numeric.py:289(full)
1163846/1133821    0.192    0.000    0.210    0.000 {built-in method builtins.len}
   840000    0.209    0.000    0.209    0.000 {method 'split' of 'bytes' objects}
   561753    0.207    0.000    0.207    0.000 {method 'match' of 're.Pattern' objects}
    20000    0.203    0.000    0.203    0.000 {built-in method pandas._libs.missing.isnaobj}
    80000    0.068    0.000    0.195    0.000 {built-in method builtins.all}
    50000    0.056    0.000    0.194    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1721(validate_all_hashable)
    19999    0.034    0.000    0.193    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:606(_can_hold_element)
    39999    0.033    0.000    0.180    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/construction.py:379(extract_array)
    30000    0.126    0.000    0.170    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/generic.py:239(__init__)
   811134    0.164    0.000    0.169    0.000 {built-in method builtins.getattr}
   280000    0.074    0.000    0.156    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:767(<lambda>)
   280000    0.094    0.000    0.155    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:525(reducer_key)
    20000    0.025    0.000    0.153    0.000 {method 'any' of 'numpy.ndarray' objects}
    20000    0.052    0.000    0.148    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/_config/config.py:109(_get_single_key)
     9999    0.046    0.000    0.147    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/array_algos/putmask.py:27(putmask_inplace)
     9999    0.014    0.000    0.145    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:252(make_block)
    10000    0.065    0.000    0.133    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1466(maybe_infer_to_datetimelike)
   199997    0.097    0.000    0.132    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
    30000    0.028    0.000    0.128    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/series.py:687(_values)
    20000    0.013    0.000    0.128    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/numpy/core/_methods.py:54(_any)
    30000    0.056    0.000    0.122    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:262(is_dict_like)
   566093    0.122    0.000    0.122    0.000 {method 'encode' of 'str' objects}
    10000    0.059    0.000    0.122    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1960(construct_1d_object_array_from_listlike)
    60000    0.073    0.000    0.118    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/series.py:590(name)
   280000    0.088    0.000    0.116    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
    20000    0.116    0.000    0.116    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   280002    0.111    0.000    0.111    0.000 {built-in method simplejson._speedups.encode_basestring_ascii}
    29999    0.059    0.000    0.105    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1944(maybe_coerce_values)
    30000    0.085    0.000    0.101    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/managers.py:1848(internal_values)
    19999    0.028    0.000    0.096    0.000 <__array_function__ internals>:177(copyto)
    29999    0.052    0.000    0.096    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2039(check_ndim)
        9    0.000    0.000    0.092    0.010 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:89(__init__)
