Thu Apr 14 12:20:31 2022    ./mrJobs/profiling/profile.dat

         17107452 function calls (17106749 primitive calls) in 9.659 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   280002    0.802    0.000    0.849    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:304(iterencode)
   560004    0.721    0.000    1.951    0.000 /usr/lib/python3/dist-packages/simplejson/encoder.py:275(encode)
   280028    0.592    0.000    0.850    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:376(raw_decode)
   280028    0.478    0.000    1.542    0.000 /usr/lib/python3/dist-packages/simplejson/decoder.py:363(decode)
   560004    0.478    0.000    3.009    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:197(_dumps)
   560004    0.475    0.000    2.426    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:282(dumps)
   280002    0.467    0.000    4.271    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:974(write_line)
  2255581    0.339    0.000    0.339    0.000 {built-in method builtins.isinstance}
   290008    0.315    0.000    3.154    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:969(read_lines)
   280002    0.274    0.000    3.283    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:98(write)
  1130005    0.270    0.000    0.270    0.000 {method 'write' of '_io.BufferedWriter' objects}
   560004    0.267    0.000    0.361    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:155(stdout)
   280000    0.241    0.000    2.241    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:83(read)
   561753    0.227    0.000    0.227    0.000 {method 'match' of 're.Pattern' objects}
   280028    0.214    0.000    1.756    0.000 /usr/lib/python3/dist-packages/simplejson/__init__.py:464(loads)
   840000    0.209    0.000    0.209    0.000 {method 'split' of 'bytes' objects}
   290002    0.206    0.000    0.382    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:693(_group_records_for_split)
   280028    0.206    0.000    2.911    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:888(<genexpr>)
   280028    0.174    0.000    1.931    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/protocol.py:189(_loads)
        4    0.167    0.042    5.264    1.316 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:748(run_mapper)
   290008    0.157    0.000    0.581    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:785(<genexpr>)
   290000    0.157    0.000    0.184    0.000 /home/ubuntu/DAT500-FinalProject/mrJobs/find_null_val.py:29(mapper)
    10000    0.149    0.000    0.304    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:50(<listcomp>)
        1    0.146    0.146    0.310    0.310 {method 'sort' of 'list' objects}
   280004    0.135    0.000    0.819    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:798(map_pairs)
        1    0.107    0.107    0.731    0.731 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:510(_split_reducer_input)
   566093    0.107    0.000    0.107    0.000 {method 'encode' of 'str' objects}
    10000    0.106    0.000    0.459    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/csvprotocol.py:36(read)
873848/873823    0.104    0.000    0.104    0.000 {built-in method builtins.len}
   561137    0.094    0.000    0.094    0.000 {built-in method builtins.getattr}
   280002    0.093    0.000    0.093    0.000 {built-in method simplejson._speedups.encode_basestring_ascii}
   280000    0.092    0.000    0.121    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
   280000    0.091    0.000    0.148    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:525(reducer_key)
   290008    0.082    0.000    0.082    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:932(_read_input)
   280000    0.080    0.000    0.163    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:767(<lambda>)
   560056    0.070    0.000    0.070    0.000 {method 'end' of 're.Match' objects}
       30    0.062    0.002    2.974    0.099 /home/ubuntu/DAT500-FinalProject/mrJobs/find_null_val.py:42(reducer)
        1    0.060    0.060    0.460    0.460 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:750(_sort_lines_in_memory)
   290000    0.057    0.000    0.057    0.000 {method 'rstrip' of 'bytes' objects}
